rank,id,object_type,RA,Dec,constellation,major_axis_deg,minor_axis_deg,mag_v,mag_b,mag_proxy,wikipedia_url,common_names,identifiers
610,NGC4459,G,12:29:00.01,+13:58:42.1,Com,4.17,3.16,10.25,11.3,10.25,https://en.wikipedia.org/wiki/NGC_4459,,"2MASX J12290002+1358428,IRAS 12264+1415,MCG +02-32-083,PGC 041104,SDSS J122900.03+135842.8,UGC 07614"
611,NGC4605,G,12:39:59.38,+61:36:33.1,UMa,5.87,2.29,10.26,10.82,10.26,https://en.wikipedia.org/wiki/NGC_4605,,"2MASX J12395938+6136330,IRAS 12378+6152,MCG +10-18-074,PGC 042408,UGC 07831"
612,NGC0488,G,01:21:46.85,+05:15:24.2,Psc,5.05,3.66,10.26,11.13,10.26,https://en.wikipedia.org/wiki/NGC_488,,"2MASX J01214684+0515241,IRAS 01191+0459,MCG +01-04-033,PGC 004946,SDSS J012146.79+051524.7,UGC 00907"
613,NGC6300,G,17:16:59.47,-62:49:14.0,Ara,5.33,3.37,10.27,10.96,10.27,https://en.wikipedia.org/wiki/NGC_6300,,"2MASX J17165947-6249139,ESO 101-025,ESO-LV 101-0250,IRAS 17123-6245,PGC 060001"
614,NGC3377,G,10:47:42.33,+13:59:09.3,Leo,3.87,1.87,10.27,11.13,10.27,https://en.wikipedia.org/wiki/NGC_3377,,"2MASX J10474239+1359083,MCG +02-28-009,PGC 032249,UGC 05899"
615,NGC5253,G,13:39:55.96,-31:38:24.4,Cen,5.01,2.12,10.28,10.8,10.28,https://en.wikipedia.org/wiki/NGC_5253,,"2MASX J13395599-3138241,ESO 445-004,ESO-LV 445-0040,IRAS 13370-3123,MCG -05-32-060,PGC 048334,UGCA 369"
617,NGC4395,G,12:25:48.86,+33:32:48.9,CVn,4.17,1.39,10.29,10.84,10.29,https://en.wikipedia.org/wiki/NGC_4395,,"2MASX J12254892+3332482,IRAS 12233+3348,MCG +06-27-053,PGC 040596,SDSS J122548.86+333248.7,SDSS J122548.87+333248.7,UGC 07524"
619,NGC4579,G,12:37:43.52,+11:49:05.5,Vir,5.01,3.84,10.3,10.44,10.3,https://en.wikipedia.org/wiki/Messier_58,,"2MASX J12374359+1149051,IRAS 12351+1205,MCG +02-32-160,PGC 042168,SDSS J123743.52+114905.4,UGC 07796"
620,NGC0772,G,01:59:19.58,+19:00:27.1,Ari,4.57,2.52,10.3,10.71,10.3,https://en.wikipedia.org/wiki/NGC_772,,"2MASX J01591958+1900271,IRAS 01565+1845,MCG +03-06-011,PGC 007525,SDSS J015919.55+190027.5,UGC 01466"
621,NGC4696,G,12:48:49.25,-41:18:39.0,Cen,3.85,2.56,10.3,11.59,10.3,https://en.wikipedia.org/wiki/NGC_4696,,"2MASX J12484927-4118399,ESO 322-091,ESO-LV 322-0910,MCG -07-26-051,PGC 043296"
625,NGC0134,G,00:30:21.97,-33:14:38.5,Scl,8.38,1.79,10.31,11.18,10.31,https://en.wikipedia.org/wiki/NGC_134,,"2MASX J00302189-3314432,ESO 350-023,ESO-LV 350-0230,IRAS 00278-3331,MCG -06-02-012,PGC 001851"
626,NGC0908,G,02:23:04.57,-21:14:01.9,Cet,6.14,2.82,10.31,10.82,10.31,https://en.wikipedia.org/wiki/NGC_908,,"2MASX J02230456-2114018,ESO 545-011,ESO-LV 545-0110,IRAS 02207-2127,MCG -04-06-035,PGC 009057,UGCA 029"
627,NGC1350,G,03:31:08.12,-33:37:43.1,For,5.18,2.6,10.31,11.15,10.31,https://en.wikipedia.org/wiki/NGC_1350,,"2MASX J03310811-3337431,ESO 358-013,ESO-LV 358-0130,IRAS 03291-3347,MCG -06-08-023,PGC 013059"
628,NGC5061,G,13:18:05.07,-26:50:14.0,Hya,3.75,3.05,10.31,11.21,10.31,https://en.wikipedia.org/wiki/NGC_5061,,"2MASX J13180505-2650139,ESO 508-038,ESO-LV 508-0380,MCG -04-31-048,PGC 046330"
629,NGC4477,G,12:30:02.20,+13:38:11.8,Com,3.7,3.22,10.31,11.27,10.31,https://en.wikipedia.org/wiki/NGC_4477,,"2MASX J12300217+1338111,IRAS 12275+1354,MCG +02-32-097,PGC 041260,SDSS J123002.19+133811.5,UGC 07638"
631,NGC4501,G,12:31:59.16,+14:25:13.4,Com,8.65,4.38,10.33,10.24,10.33,https://en.wikipedia.org/wiki/Messier_88,,"2MASX J12315921+1425134,IRAS 12294+1441,MCG +03-32-059,PGC 041517,UGC 07675"
633,IC0010,G,00:20:17.34,+59:18:13.6,Cas,6.76,6.03,10.35,11.78,10.35,https://en.wikipedia.org/wiki/IC_10,,"2MASX J00201733+5918136,IRAS 00175+5902,IRAS 00177+5900,MCG +10-01-001,PGC 001305,UGC 00192"
634,NGC0613,G,01:34:18.17,-29:25:06.1,Scl,5.48,4.51,10.35,10.74,10.35,https://en.wikipedia.org/wiki/NGC_613,,"2MASX J01341823-2925065,ESO 413-011,ESO-LV 413-0110,IRAS 01319-2940,MCG -05-04-044,PGC 005849"
636,NGC0584,G,01:31:20.75,-06:52:05.0,Cet,3.78,2.51,10.35,11.31,10.35,https://en.wikipedia.org/wiki/NGC_584,,"2MASX J01312075-0652050,MCG -01-04-060,PGC 005663"
637,NGC0524,G,01:24:47.72,+09:32:19.8,Psc,3.37,3.35,10.35,11.4,10.35,https://en.wikipedia.org/wiki/NGC_524,,"2MASX J01244770+0932196,IRAS 01221+0916,MCG +01-04-053,PGC 005222,SDSS J012447.74+093220.0,UGC 00968"
638,NGC1332,G,03:26:17.25,-21:20:06.8,Eri,5.31,3.84,10.36,11.2,10.36,https://en.wikipedia.org/wiki/NGC_1332,,"2MASX J03261732-2120073,ESO 548-018,ESO-LV 548-0180,IRAS 03240-2130,MCG -04-09-011,PGC 012838,UGCA 072"
639,NGC3938,G,11:52:49.45,+44:07:14.6,UMa,3.55,3.44,10.36,10.88,10.36,https://en.wikipedia.org/wiki/NGC_3938,,"2MASX J11524945+4407146,IRAS 11502+4423,MCG +07-25-001,PGC 037229,SDSS J115249.43+440714.6,UGC 06856"
